order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDI09344,2018-10-29,17:58:18,Dinner,NS,"[('Fish&Chips', 2), ('Pasta', 8), ('Shrimp', 5)]",560.0,-37.8214424,144.9665591,0,8.854,14.9168223
ORDK10763,2018-12-31,20:00:00,Dinner,BK,"[('Shrimp', 3), ('Salmon', 1)]",203.0,-37.8052862,145.0053315,0,5.071,11.8447292
ORDJ04661,2018-04-26,11:43:05,Breakfast,TP,"[('Pancake', 1), ('Eggs', 3), ('Coffee', 5)]",127.75,-37.8017925,144.917105,0,12.488,14.2612682
ORDA07483,2018-10-16,17:27:53,Dinner,BK,"[('Fish&Chips', 9), ('Pasta', 7), ('Salmon', 3)]",630.5,-37.823082,144.9915947,0,5.997,12.9539779
ORDA10530,2018-01-24,08:40:33,Breakfast,BK,"[('Cereal', 4), ('Pancake', 5)]",205.25,-37.8061701,144.9550219,0,8.179,13.4621258
ORDC01444,2018-01-22,08:40:33,Breakfast,NS,"[('Coffee', 2), ('Cereal', 4), ('Pancake', 9)]",317.25,-37.8227358,144.9554582,0,9.543,14.4135254
ORDX05385,2018-07-02,13:54:55,Lunch,BK,"[('Chicken', 5), ('Fries', 7), ('Salad', 10)]",416.0,-37.8121675,144.9553308,0,8.193,14.166488
ORDB01969,2018-09-19,16:37:10,Dinner,TP,"[('Shrimp', 9), ('Salmon', 9), ('Fish&Chips', 1), ('Pasta', 6)]",1055.0,-37.8151162,145.0014823,0,11.01,14.828485
ORDC08746,2018-08-03,15:05:54,Lunch,NS,"[('Chicken', 9), ('Fries', 1), ('Salad', 3), ('Burger', 5)]",506.6,-37.8194705,144.9719779,0,9.592,14.6864618
ORDX07238,2018-02-16,09:31:16,Breakfast,BK,"[('Cereal', 6), ('Coffee', 9), ('Eggs', 7), ('Pancake', 6)]",493.0,-37.8208845,144.9548011,0,8.617,13.527069
ORDZ03476,2018-11-08,18:18:35,Dinner,NS,"[('Salmon', 8), ('Pasta', 3)]",410.5,-37.8156548,144.963956,0,8.198,14.3652786
ORDK06259,2018-01-21,08:30:25,Breakfast,BK,"[('Cereal', 4), ('Eggs', 7), ('Coffee', 1), ('Pancake', 6)]",391.0,-37.8005308,144.9694393,0,7.591,15.0583168
ORDB02750,2018-06-30,13:54:55,Lunch,TP,"[('Chicken', 4), ('Fries', 9)]",236.0,-37.8167591,144.9822729,0,9.091,13.9957084
ORDI07009,2018-12-02,19:09:17,Dinner,NS,"[('Fish&Chips', 10), ('Shrimp', 3), ('Salmon', 9), ('Pasta', 8)]",1101.0,-37.8210935,144.9878702,0,9.376,17.1981942
ORDC05751,2018-11-09,18:18:35,Dinner,NS,"[('Shrimp', 1), ('Salmon', 1), ('Fish&Chips', 4)]",235.0,-37.8111128,144.9910169,0,8.786,14.8612704
ORDZ09598,2018-05-23,12:43:56,Lunch,NS,"[('Fries', 4), ('Salad', 9), ('Burger', 7), ('Chicken', 8)]",675.8,-37.8146613,144.9854064,0,8.693,14.2817112
